Question Number,Answer
Question 1,3.308
Question 2,648.972
Question 3,5.875
Question 4,1
Question 5,12.16
Question 6,-5.763
Question 7,-110.06
Question 8,-107.355
Question 9,10.497
Question 10,-0.006
Question 11,17
Question 12,0.743
Question 13,2.186
Question 14,1348.2144
Question 15,33.4758
Question 16,1
Question 17,-1378.6
Question 18,11.157
Question 19,152.1
Question 20,6.399
Question 21,-1.9674
Question 22,7.518
Question 23,0.2543
Question 24,1
Question 25,1
Question 26,0.748
Question 27,-15.407
Question 28,110.209
Question 29,-11.638
Question 30,6.068
Question 31,-694.26
Question 32,11.667
Question 33,3.62
Question 34,-0.2959
Question 35,1.79
Question 36,61.1687
Question 37,-1.97
Question 38,-7.099
Question 39,10.685
Question 40,0.2207
Question 41,5.536
Question 42,60.6046
Question 43,235.57
Question 44,12.124
Question 45,19.2
Question 46,5.031
Question 47,-7.9833
Question 48,1
Question 49,2.428
Question 50,6.288
Question 51,1.987
Question 52,39.673
Question 53,28.35
Question 54,27.29
Question 55,2.2506
Question 56,2.73
Question 57,1
Question 58,9.946
Question 59,62.5
Question 60,0.815
Question 61,0.1151
Question 62,-8
Question 63,64.1
Question 64,-2259.127
Question 65,41.5957
Question 66,9.3359
Question 67,175.938
Question 68,7.722
Question 69,3.24
Question 70,2.2
Question 71,7
Question 72,171.6004
Question 73,175.617
Question 74,0.475
Question 75,1
Question 76,1
Question 77,-838.6908
Question 78,5.38
Question 79,1
Question 80,4.047
Question 81,7.0098
Question 82,3.95
Question 83,-23.5
Question 84,8.554
Question 85,-21.785
Question 86,-1
Question 87,0.92
Question 88,370.3403
Question 89,21.919
Question 90,0.2282
Question 91,8.639
Question 92,1.608
Question 93,15.851
Question 94,6.864
Question 95,-25.3239
Question 96,-47.544
Question 97,0.216
Question 98,1.4429
Question 99,1.26
Question 100,-243.3
Question 101,1.29
Question 102,62.5014
Question 103,1.3
Question 104,1.5226
Question 105,5.749
Question 106,4.093
Question 107,-15.41
Question 108,0.47
Question 109,1.8957
Question 110,2.96
Question 111,10.2784
Question 112,20.537
Question 113,-0.198
Question 114,-175.128
Question 115,-53.73
Question 116,1.3384
Question 117,127.65
Question 118,3.599
Question 119,-7.6857
Question 120,26.4
Question 121,9.9
Question 122,-2.78
Question 123,4.14
Question 124,-21.8
Question 125,-295.8
Question 126,19.6
Question 127,4.121
Question 128,6.917
Question 129,4.824
Question 130,26.2441
Question 131,-122.7174
Question 132,71.649
Question 133,1
Question 134,10.733
Question 135,-13.0144
Question 136,1.9
Question 137,-30.077
Question 138,1
Question 139,25.3993
Question 140,1
Question 141,-4.19
Question 142,45.985
Question 143,3.24
Question 144,18.9
Question 145,-4.56
Question 146,10.549
Question 147,0.207
Question 148,5.269
Question 149,-17.8814
Question 150,-0.481
Question 151,36.638
Question 152,-2.251
Question 153,7.868
Question 154,369.931
Question 155,1
Question 156,32.834
Question 157,9.7251
Question 158,3.244
Question 159,18.915
Question 160,8.642
Question 161,-0.6783
Question 162,1.2987
Question 163,-2.606
Question 164,0.3873
Question 165,1
Question 166,-38.312
Question 167,44.5
Question 168,-39.8766
Question 169,0.1404
Question 170,0.3446
Question 171,1.226
Question 172,-5.231
Question 173,4.17
Question 174,-23.5122
Question 175,14.78
Question 176,71.592
Question 177,-152.192
Question 178,2.1479
Question 179,3420.7
Question 180,1
Question 181,0.1341
Question 182,-122.72
Question 183,13.58
Question 184,65.76
Question 185,5.623
Question 186,7.495
Question 187,69.8
Question 188,8.8
Question 189,5.23
Question 190,10.688
Question 191,3199.3673
Question 192,7.4
Question 193,2.428
Question 194,1
Question 195,11.334
Question 196,0.122
Question 197,-17.1
Question 198,8.809
Question 199,-3.569
Question 200,13.565
Question 201,10.14
Question 202,11.3
Question 203,-13
Question 204,3.584
Question 205,2.85
Question 206,-0.2516
Question 207,1.6
Question 208,2.871
Question 209,1.3
Question 210,8.79
Question 211,3.957
Question 212,5.613
Question 213,-0.1346
Question 214,1.513
Question 215,8.41
Question 216,-14.604
Question 217,4.934
Question 218,79.415
Question 219,12
Question 220,5.3
Question 221,0.643
Question 222,304.889
Question 223,5.038
Question 224,-59.7879
Question 225,-21.08
Question 226,40.082
