Total Questions: 1000
Correct Answers: 791
Wrong Answers: 209
Accuracy: 79.10%

Mismatched Answers:
Q8: Expected=-107.355 | Found=-489.855
Q9: Expected=10.497 | Found=10.197
Q10: Expected=-0.006000000000000227 | Found=-0.606
Q22: Expected=7.517959770114943 | Found=7.9885
Q27: Expected=-15.406999999999998 | Found=-58.587
Q28: Expected=110.209 | Found=492.709
Q31: Expected=-694.26 | Found=-695.36
Q43: Expected=235.57 | Found=235.94
Q50: Expected=6.288000000000001 | Found=7.308
Q53: Expected=28.35 | Found=29.37
Q56: Expected=2.73 | Found=10.27
Q63: Expected=64.1 | Found=64.2
Q64: Expected=-2259.1270000000004 | Found=-2262.7
Q69: Expected=3.24 | Found=1.24
Q77: Expected=-838.6908000000001 | Found=-2514.525
Q89: Expected=21.919 | Found=23.203
Q92: Expected=1.608 | Found=3.608
Q93: Expected=15.851 | Found=16.999
Q100: Expected=-243.3 | Found=-243.5
Q101: Expected=1.29 | Found=1.422
Q107: Expected=-15.41 | Found=-58.59
Q110: Expected=2.96 | Found=3.27
Q118: Expected=3.5989999999999993 | Found=3.099
Q121: Expected=9.9 | Found=10.0
Q128: Expected=6.917 | Found=6.167
Q131: Expected=-122.717412 | Found=-130.78
Q136: Expected=1.9 | Found=1.4
Q143: Expected=3.24 | Found=1.24
Q146: Expected=10.549000000000001 | Found=11.508
Q158: Expected=3.2439999999999998 | Found=1.244
Q168: Expected=-39.8766 | Found=-119.63
Q171: Expected=1.225999999999999 | Found=1.975
Q179: Expected=3420.7 | Found=3421.3
Q182: Expected=-122.72 | Found=-130.78
Q183: Expected=13.58 | Found=13.89
Q190: Expected=10.688 | Found=11.838
Q200: Expected=13.565 | Found=13.265
Q202: Expected=11.3 | Found=11.57
Q204: Expected=3.584 | Found=2.727
Q207: Expected=1.6 | Found=1.4
Q212: Expected=5.613 | Found=11.226
Q216: Expected=-14.604 | Found=-15.564
Q218: Expected=79.415 | Found=68.38
Q224: Expected=-59.787895999999996 | Found=-64.72
Q225: Expected=-21.08 | Found=-64.26
Q229: Expected=7.148999999999999 | Found=8.006
Q233: Expected=-21.076144366197184 | Found=-64.26
Q239: Expected=-2261.597 | Found=-2265.17
Q247: Expected=1.1941108097636575 | Found=1.452
Q258: Expected=0.1940000000000004 | Found=1.787
Q260: Expected=7.449 | Found=7.149
Q263: Expected=6.288 | Found=7.308
Q265: Expected=1.919999999999999 | Found=3.068
Q268: Expected=-827.449 | Found=-2503.249
Q272: Expected=-790.5075999999999 | Found=-790.7
Q273: Expected=24.806 | Found=93.256
Q274: Expected=80.33800000000001 | Found=69.303
Q276: Expected=-641.7936639999999 | Found=-641.8
Q278: Expected=1.2 | Found=1.5
Q280: Expected=1.23 | Found=1.98
Q282: Expected=9.749781 | Found=19.5
Q287: Expected=-9.726 | Found=-29.178
Q292: Expected=2.8600000000000225 | Found=3.05
Q300: Expected=-9.07 | Found=-18.82
Q311: Expected=-5535.078999999999 | Found=-5534.069
Q316: Expected=2.9559999999999995 | Found=3.266
Q325: Expected=-59.788 | Found=-64.72
Q328: Expected=2.4 | Found=2.5
Q329: Expected=13.12 | Found=13.43
Q331: Expected=-110.70206400000001 | Found=-493.2
Q332: Expected=10.431 | Found=10.741
Q335: Expected=235.56749999999997 | Found=235.935
Q336: Expected=3.5840000000003105 | Found=2.727
Q337: Expected=-109.1 | Found=-109.2
Q347: Expected=8.407 | Found=9.264
Q351: Expected=0.9440000000000008 | Found=2.568
Q361: Expected=80.3 | Found=69.3
Q364: Expected=2.4250000000000007 | Found=3.575
Q365: Expected=4886.87 | Found=4886.013
Q367: Expected=1.5802965569238503 | Found=1.8366
Q370: Expected=1.0 | Found=2.0
Q374: Expected=0.5460000000000007 | Found=0.646
