Total Questions: 1000
Correct Answers: 774
Wrong Answers: 226
Accuracy: 77.40%

Mismatched Answers:
Q7: Expected=-110.06 | Found=-110.31
Q8: Expected=-107.355 | Found=-107.265
Q10: Expected=-0.006000000000000227 | Found=-0.30600000000000005
Q14: Expected=1348.2144 | Found=1100.4656000000002
Q19: Expected=152.1 | Found=124.15
Q22: Expected=7.517959770114943 | Found=9.859913793103448
Q26: Expected=0.748 | Found=1.496
Q28: Expected=110.209 | Found=110.119
Q31: Expected=-694.26 | Found=-694.8
Q36: Expected=61.16871999999999 | Found=49.93544
Q43: Expected=235.57 | Found=235.75
Q44: Expected=12.123999999999999 | Found=12.154
Q47: Expected=-7.983300000000001 | Found=-7.942360000000001
Q50: Expected=6.288000000000001 | Found=6.456
Q52: Expected=39.673 | Found=39.45
Q53: Expected=28.35 | Found=13.81
Q55: Expected=2.2506082725060828 | Found=2.235401459854015
Q59: Expected=62.5 | Found=61.7
Q60: Expected=0.8150000000000004 | Found=15.145
Q62: Expected=-8.0 | Found=-7.9
Q63: Expected=64.1 | Found=64.15
Q64: Expected=-2259.1270000000004 | Found=-2260.8650000000002
Q67: Expected=175.938 | Found=143.61
Q73: Expected=175.617 | Found=175.488
Q77: Expected=-838.6908000000001 | Found=-838.61343
Q83: Expected=-23.5 | Found=-23.6
Q96: Expected=-47.544 | Found=-46.9497
Q102: Expected=62.5014 | Found=61.7001
Q105: Expected=5.749 | Found=5.759
Q109: Expected=1.8956747726007055 | Found=1.710042695377761
Q112: Expected=20.537 | Found=20.587
Q114: Expected=-175.128 | Found=-174.999
Q117: Expected=127.65 | Found=128.82
Q119: Expected=-7.6857 | Found=6.6458699999999995
Q127: Expected=4.121 | Found=3.1210000000000004
Q131: Expected=-122.717412 | Found=-162.967782
Q134: Expected=10.733 | Found=7.305
Q144: Expected=18.9 | Found=15.5
Q145: Expected=-4.56 | Found=-4.52
Q146: Expected=10.549000000000001 | Found=15.344000000000001
Q159: Expected=18.91496491779244 | Found=15.52947952665201
Q166: Expected=-38.312000000000005 | Found=-38.239000000000004
Q174: Expected=-23.512199999999996 | Found=-23.5648
Q176: Expected=71.592 | Found=71.502
Q178: Expected=2.1478887332399443 | Found=1.4618771262757655
Q179: Expected=3420.7 | Found=3420.99
Q182: Expected=-122.72 | Found=-162.97
Q192: Expected=7.4 | Found=7.35
Q199: Expected=-3.569 | Found=-3.529
Q201: Expected=10.14 | Found=9.15
Q208: Expected=2.871 | Found=8.937
Q213: Expected=-0.13460761879122357 | Found=-0.26921523758244714
Q216: Expected=-14.604 | Found=-19.394
Q218: Expected=79.415 | Found=79.859
Q220: Expected=5.3 | Found=5.02
Q226: Expected=40.082 | Found=40.009
Q229: Expected=7.148999999999999 | Found=7.154
Q230: Expected=61.17 | Found=49.94
Q231: Expected=0.11800000000000388 | Found=7.8060000000000045
Q235: Expected=152.06862 | Found=124.15083999999999
Q237: Expected=64.670181 | Found=64.614751
Q239: Expected=-2261.597 | Found=-2263.335
Q241: Expected=1.272348033373063 | Found=2.547675804529202
Q246: Expected=12.124 | Found=12.15
Q255: Expected=-5.2620000000000005 | Found=9.07
Q257: Expected=53.391 | Found=52.791
Q260: Expected=7.449 | Found=7.45
Q262: Expected=1.0029999999999983 | Found=0.20300000000000118
Q263: Expected=6.288 | Found=6.46
Q268: Expected=-827.449 | Found=-827.3489999999999
Q274: Expected=80.33800000000001 | Found=80.782
Q277: Expected=-39.34 | Found=-38.74
Q281: Expected=0.3819999999999997 | Found=6.182
Q284: Expected=5.716 | Found=2.288
Q304: Expected=1348.21 | Found=1100.47
Q315: Expected=2.3 | Found=2.2
Q321: Expected=1.0 | Found=0.2
Q328: Expected=2.4 | Found=-3.6
Q331: Expected=-110.70206400000001 | Found=-110.61347400000001
Q335: Expected=235.56749999999997 | Found=235.75125
Q338: Expected=-5.26 | Found=9.07
Q350: Expected=13.182 | Found=6.182
Q353: Expected=8.078 | Found=8.038
Q355: Expected=7.8 | Found=7.7
Q361: Expected=80.3 | Found=80.8
Q362: Expected=175.666 | Found=175.537
Q368: Expected=2.1729079981507167 | Found=2.1497919556171987
Q373: Expected=1.0 | Found=2.0
Q375: Expected=89.054 | Found=89.554
Q380: Expected=2.3 | Found=1.75
Q385: Expected=-1.6370516617308324 | Found=-1.6725896676538334
Q386: Expected=-14.036 | Found=-14.056
Q390: Expected=18.72 | Found=23.509999999999998
Q413: Expected=2274.4283499999997 | Found=2276.1662499999998
Q414: Expected=45.653 | Found=45.053
Q415: Expected=0.38400000000000034 | Found=0.484
Q417: Expected=2.1 | Found=1.5
Q422: Expected=13.13 | Found=13.2
Q424: Expected=0.768 | Found=0.7479999999999998
Q425: Expected=-390.32572799999997 | Found=-389.984448
Q427: Expected=19.9 | Found=14.18
Q428: Expected=9.39928 | Found=9.3216
Q431: Expected=-2259.127 | Found=-2260.87
Q442: Expected=28.351125 | Found=13.811249999999996
Q443: Expected=2274.428 | Found=2276.166
Q450: Expected=1.896 | Found=1.71
Q457: Expected=71.306 | Found=71.4472
Q466: Expected=31.636 | Found=31.67
Q467: Expected=-43.477 | Found=-42.8827
Q471: Expected=4.27 | Found=8.55
Q481: Expected=175.66573 | Found=175.53699
Q486: Expected=1.0 | Found=8.0
Q487: Expected=675.58 | Found=678.08
Q492: Expected=0.8500000000000005 | Found=1.1300000000000008
Q506: Expected=-4.5569999999999995 | Found=-4.517
Q508: Expected=-14.884999999999998 | Found=-9.165
Q517: Expected=-16.244 | Found=-16.264
Q518: Expected=10.55 | Found=15.34
Q521: Expected=-390.326 | Found=-389.98
Q522: Expected=-1.7 | Found=1.47
Q526: Expected=75.6702 | Found=75.95046
Q527: Expected=119.6061 | Found=120.78038
Q528: Expected=30.5 | Found=30.8
Q544: Expected=6.02 | Found=6.119999999999999
Q551: Expected=79.41477499999999 | Found=79.85889999999999
Q552: Expected=-817.874 | Found=-817.77
Q556: Expected=-31.105027999999997 | Found=-31.031788
Q566: Expected=1.5 | Found=1.4
