Total Questions: 1000
Correct Answers: 680
Wrong Answers: 320
Accuracy: 68.00%

Mismatched Answers:
Q7: Expected=-110.06 | Found=-110.39
Q8: Expected=-107.355 | Found=-298.7048499006467
Q9: Expected=10.497 | Found=10.50340578587111
Q10: Expected=-0.006000000000000227 | Found=-0.563843541562176
Q14: Expected=1348.2144 | Found=1347.606090480341
Q19: Expected=152.1 | Found=152.0
Q22: Expected=7.517959770114943 | Found=7.623238160102443
Q27: Expected=-15.406999999999998 | Found=-37.00925340339166
Q28: Expected=110.209 | Found=301.55884990064675
Q31: Expected=-694.26 | Found=-694.62
Q33: Expected=3.62 | Found=3.51
Q39: Expected=10.684999999999999 | Found=10.704439276485788
Q43: Expected=235.57 | Found=235.69
Q50: Expected=6.288000000000001 | Found=6.5136679982228145
Q52: Expected=39.673 | Found=39.316
Q53: Expected=28.35 | Found=28.58
Q54: Expected=27.29 | Found=27.3
Q56: Expected=2.73 | Found=6.5
Q59: Expected=62.5 | Found=62.2
Q60: Expected=0.8150000000000004 | Found=6.272132798519075
Q62: Expected=-8.0 | Found=-7.9
Q64: Expected=-2259.1270000000004 | Found=-2260.2938917766273
Q65: Expected=41.59568924680246 | Found=41.608797995769734
Q67: Expected=175.938 | Found=175.859
Q77: Expected=-838.6908000000001 | Found=-1677.1432818312
Q83: Expected=-23.5 | Found=-23.6
Q85: Expected=-21.784999999999997 | Found=-21.80506506220681
Q89: Expected=21.919 | Found=11.15
Q93: Expected=15.851 | Found=16.063
Q96: Expected=-47.544 | Found=-47.23554408413201
Q97: Expected=0.2160000000000002 | Found=0.10137270484483143
Q100: Expected=-243.3 | Found=-243.6
Q101: Expected=1.29 | Found=1.311
Q102: Expected=62.5014 | Found=62.191312581685885
Q103: Expected=1.3 | Found=1.272986045992409
Q105: Expected=5.749 | Found=5.854124592
Q107: Expected=-15.41 | Found=-37.01
Q109: Expected=1.8956747726007055 | Found=1.7100426953777612
Q110: Expected=2.96 | Found=3.11
Q115: Expected=-53.73 | Found=-53.695
Q117: Expected=127.65 | Found=128.6290354313163
Q118: Expected=3.5989999999999993 | Found=3.617376
Q119: Expected=-7.6857 | Found=-2.226867201480925
Q125: Expected=-295.8 | Found=-295.5
Q127: Expected=4.121 | Found=3.121
Q128: Expected=6.917 | Found=6.400918040747286
Q131: Expected=-122.717412 | Found=-124.5082811430663
Q132: Expected=71.649 | Found=71.559196927201
Q134: Expected=10.733 | Found=6.615773287168
Q135: Expected=-13.014400000000002 | Found=-12.993152
Q139: Expected=25.399328000000004 | Found=25.420065062206813
Q145: Expected=-4.56 | Found=-4.49
Q146: Expected=10.549000000000001 | Found=10.763122592296359
Q149: Expected=-17.881397238017872 | Found=-17.935289982858777
Q166: Expected=-38.312000000000005 | Found=-38.26114012158305
Q168: Expected=-39.8766 | Found=-79.7532
Q171: Expected=1.225999999999999 | Found=1.7460819592527135
Q178: Expected=2.1478887332399443 | Found=1.3239490268497098
Q179: Expected=3420.7 | Found=3421.25
Q182: Expected=-122.72 | Found=-124.51
Q183: Expected=13.58 | Found=13.730967605563881
Q184: Expected=65.76 | Found=65.67
Q190: Expected=10.688 | Found=10.900235947171053
Q192: Expected=7.4 | Found=7.3
Q196: Expected=-0.17799999999999994 | Found=-0.21871017825407166
Q201: Expected=10.14 | Found=9.15
Q202: Expected=11.3 | Found=11.43
Q204: Expected=3.584 | Found=3.448
Q211: Expected=3.956999999999999 | Found=4.055247629709253
Q212: Expected=5.613 | Found=16.839
Q216: Expected=-14.604 | Found=-14.817122592296359
Q218: Expected=79.415 | Found=79.799
Q220: Expected=5.3 | Found=5.2
Q222: Expected=304.889 | Found=304.57856492
Q224: Expected=-59.787895999999996 | Found=-18.478081959252712
Q225: Expected=-21.08 | Found=-42.68
Q229: Expected=7.148999999999999 | Found=7.28527834208905
Q231: Expected=0.11800000000000388 | Found=7.672083565806943
Q233: Expected=-21.076144366197184 | Found=-42.68225340339166
Q239: Expected=-2261.597 | Found=-2262.763891776627
Q249: Expected=-11.384 | Found=-11.418257120862203
Q254: Expected=-295.804494 | Found=-295.48956492
Q255: Expected=-5.2620000000000005 | Found=0.19713279851907478
Q257: Expected=53.391 | Found=53.07954408413201
Q258: Expected=0.1940000000000004 | Found=0.2150626534126809
Q262: Expected=1.0029999999999983 | Found=0.6943125816858878
Q263: Expected=6.288 | Found=6.514
Q265: Expected=1.919999999999999 | Found=2.1322359471710537
Q268: Expected=-827.449 | Found=-1665.8922818312
Q272: Expected=-790.5075999999999 | Found=-788.8725885105223
Q273: Expected=24.806 | Found=59.0457057289423
Q274: Expected=80.33800000000001 | Found=80.7221336912
Q277: Expected=-39.34 | Found=-39.03
Q280: Expected=1.23 | Found=1.75
Q281: Expected=0.3819999999999997 | Found=6.182
Q282: Expected=9.749781 | Found=29.249343
Q284: Expected=5.716 | Found=1.599
Q285: Expected=2.9 | Found=2.89
Q287: Expected=-9.726 | Found=-19.452
Q292: Expected=2.8600000000000225 | Found=1.22258851052225
Q300: Expected=-9.07 | Found=-28.57
Q304: Expected=1348.21 | Found=1347.61
Q311: Expected=-5535.078999999999 | Found=-5534.925681506188
Q315: Expected=2.3 | Found=2.2
Q316: Expected=2.9559999999999995 | Found=3.1109676055638817
Q321: Expected=1.0 | Found=0.69
Q325: Expected=-59.788 | Found=-18.478
Q329: Expected=13.12 | Found=13.27
Q331: Expected=-110.70206400000001 | Found=-302.04984990064673
Q332: Expected=10.431 | Found=10.585967605563882
Q334: Expected=-79.6 | Found=-79.4
Q335: Expected=235.56749999999997 | Found=235.6908225558392
Q336: Expected=3.5840000000003105 | Found=3.4477216579109493
Q337: Expected=-109.1 | Found=-109.2
Q338: Expected=-5.26 | Found=0.2
Q346: Expected=1.74 | Found=1.64
Q347: Expected=8.407 | Found=8.543278342089051
Q350: Expected=13.182 | Found=6.182
Q351: Expected=0.9440000000000008 | Found=0.127343
Q358: Expected=-3.5169999999999995 | Found=-3.6316272951551687
Q361: Expected=80.3 | Found=80.7
Q362: Expected=175.666 | Found=175.721
Q364: Expected=2.4250000000000007 | Found=2.6372359471710536
Q365: Expected=4886.87 | Found=4886.733721657911
Q367: Expected=1.5802965569238503 | Found=1.6370113089275733
Q375: Expected=89.054 | Found=89.4761336912
Q380: Expected=2.3 | Found=1.6
Q382: Expected=-48470.686803 | Found=-48469.344192949684
Q385: Expected=-1.6370516617308324 | Found=-1.918366887653196
Q390: Expected=18.72 | Found=18.933122592296357
Q392: Expected=1.024 | Found=0.992616
Q398: Expected=176.28726600000002 | Found=176.343597774
Q404: Expected=-53.730000000000004 | Found=-53.69532
Q405: Expected=-109.14930000000001 | Found=-109.222251307
Q407: Expected=1.92 | Found=2.13
Q411: Expected=-48470.7 | Found=-48469.3
Q413: Expected=2274.4283499999997 | Found=2275.5948917766273
Q414: Expected=45.653 | Found=45.34154408413201
Q415: Expected=0.38400000000000034 | Found=0.45556082725060826
Q417: Expected=2.1 | Found=1.3
Q425: Expected=-390.32572799999997 | Found=-1115.9243588232523
Q427: Expected=19.9 | Found=12.5
Q431: Expected=-2259.127 | Found=-2260.294
Q432: Expected=-1.0 | Found=-2.0
Q434: Expected=23.4 | Found=23.5
Q436: Expected=1.024 | Found=0.993
Q442: Expected=28.351125 | Found=28.575667998222816
Q443: Expected=2274.428 | Found=2275.595
Q445: Expected=5.5 | Found=5.6
Q446: Expected=-9.068999999999999 | Found=-28.568343
Q450: Expected=1.896 | Found=1.71
Q451: Expected=-295.524 | Found=-295.21356492
Q452: Expected=1.7449999999999997 | Found=1.636875408
Q457: Expected=71.306 | Found=71.85804874344869
Q465: Expected=2.7307353588727437 | Found=6.4999676055638815
Q467: Expected=-43.477 | Found=-43.16854408413201
Q468: Expected=-79.592282 | Found=-79.43536285475
Q475: Expected=15.026 | Found=15.140627295155168
Q481: Expected=175.66573 | Found=175.72134513813984
Q486: Expected=1.0 | Found=8.0
Q487: Expected=675.58 | Found=677.39
Q490: Expected=8.078169253426985 | Found=8.140710178254071
Q491: Expected=591.1 | Found=591.2
Q492: Expected=0.8500000000000005 | Found=0.997284529471752
Q496: Expected=79.47 | Found=80.37
Q497: Expected=30.464608 | Found=30.60897365866458
Q501: Expected=-243.29299999999998 | Found=-243.56562041461
Q504: Expected=18.618 | Found=7.849018237552845
Q506: Expected=-4.5569999999999995 | Found=-4.494777252383089
Q508: Expected=-14.884999999999998 | Found=-7.5029380488640065
Q514: Expected=13.623708 | Found=13.73462729515517
Q516: Expected=58.149 | Found=58.047
Q518: Expected=10.55 | Found=10.76
Q521: Expected=-390.326 | Found=-1115.924
Q522: Expected=-1.7 | Found=-0.49
Q526: Expected=75.6702 | Found=75.872622456
Q527: Expected=119.6061 | Found=120.5890354313163
Q528: Expected=30.5 | Found=30.8
Q536: Expected=65.76400799999999 | Found=65.67019692720099
Q540: Expected=1.024 | Found=0.992616
Q544: Expected=6.02 | Found=6.1261106028227
Q550: Expected=-26.077170418006432 | Found=-26.10563991582101
Q551: Expected=79.41477499999999 | Found=79.7991336912
Q552: Expected=-817.874 | Found=-1656.317
